Sample_ID	CRT_admix	IRT_admix	RBT_admix	WCT_admix	YCT_admix
Abbot_20_01	0.964499	0.033242	0.997741	0.002249	0.00001
Abbot_20_03	0.968754	0.030351	0.999105	0.000885	0.00001
Abbot_20_26	0.97975	0.01759	0.99734	0.000743	0.001917
AdamsBR3_17_01	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_02	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_03	0.000012	0.999968	0.99998	0.00001	0.00001
AdamsBR3_17_07	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_09	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_11	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_12	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_13	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_15	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_19	0.00001	0.99997	0.99998	0.00001	0.00001
AdamsBR3_17_20	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_22	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_24	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_25	0.000011	0.999969	0.99998	0.00001	0.00001
AdamsBR3_17_28	0.000011	0.999969	0.99998	0.00001	0.00001
ARD_20_01	0.99997	0.00001	0.99998	0.00001	0.00001
ARD_20_02	0.99997	0.00001	0.99998	0.00001	0.00001
ARD_20_03	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_05	0.99997	0.00001	0.99998	0.00001	0.00001
ARD_20_06	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_07	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_10	0.999969	0.000011	0.99998	0.00001	0.000011
ARD_20_11	0.99997	0.00001	0.99998	0.00001	0.00001
ARD_20_12	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_13	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_14	0.999968	0.000011	0.999979	0.00001	0.000011
ARD_20_15	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_16	0.99997	0.00001	0.99998	0.00001	0.00001
ARD_20_17	0.99997	0.00001	0.99998	0.00001	0.00001
ARD_20_18	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_20	0.99997	0.00001	0.99998	0.00001	0.00001
ARD_20_21	0.99997	0.00001	0.99998	0.00001	0.00001
ARD_20_22	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_23	0.99997	0.00001	0.99998	0.00001	0.00001
ARD_20_24	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_25	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_26	0.999969	0.000011	0.99998	0.00001	0.00001
ARD_20_27	0.99997	0.00001	0.99998	0.00001	0.00001
