Sample_ID	CRT	IRT	RBT	WCT	YCT
Abbot_20_01	0.924324422	0.069301017	0.993625439	0.006374561	0
Abbot_20_03	0.908828209	0.088590549	0.997418757	0.002581243	0
Abbot_20_26	0.931448195	0.063369683	0.994817878	0.003791418	0.001390703
AdamsBR3_17_01	0.001233883	0.994128054	0.995361937	0.004638063	0
AdamsBR3_17_02	0.000925461	0.995395389	0.99632085	0.00367915	0
AdamsBR3_17_03	0.000682585	0.995372551	0.996055136	0.003944864	0
AdamsBR3_17_07	7.95225E-05	0.997175436	0.997254958	0.002745042	0
AdamsBR3_17_09	0.000397547	0.994274755	0.994672302	0.005327698	0
AdamsBR3_17_11	0.001771035	0.995914668	0.997685704	0.002314296	0
AdamsBR3_17_12	0.000708952	0.996096023	0.996804975	0.00315865	0.0000364
AdamsBR3_17_13	0.001197487	0.995843017	0.997040504	0.002959496	0
AdamsBR3_17_15	0.001635175	0.994875281	0.996510456	0.003489544	0
AdamsBR3_17_19	0.001508949	0.994638954	0.996147903	0.003852097	0
AdamsBR3_17_20	0.001961005	0.994682672	0.996643677	0.003356323	0
AdamsBR3_17_22	0.001612159	0.995182502	0.996794662	0.003205338	0
AdamsBR3_17_24	6.65311E-05	0.996629448	0.996695979	0.003304021	0
AdamsBR3_17_25	0.000159471	0.994682602	0.994842074	0.005157926	0
AdamsBR3_17_28	0.000915027	0.998095184	0.999010212	0.000989788	0
ARD_20_01	0.99672512	0.00327488	1	0	0
ARD_20_02	0.998997024	0.001002976	1	0	0
ARD_20_03	1	0	1	0	0
ARD_20_05	1	0	1	0	0
ARD_20_06	0.998186889	0.001813111	1	0	0
ARD_20_07	0.999700274	0.000299726	1	0	0
ARD_20_10	1	0	1	0	0
ARD_20_11	1	0	1	0	0
ARD_20_12	1	0	1	0	0
ARD_20_13	1	0	1	0	0
ARD_20_14	1	0	1	0	0
ARD_20_15	0.999156078	0.000843922	1	0	0
ARD_20_16	0.998333302	0.001666698	1	0	0
ARD_20_17	1	0	1	0	0
ARD_20_18	1	0	1	0	0
ARD_20_20	1	0	1	0	0
ARD_20_21	1	0	1	0	0
ARD_20_22	1	0	1	0	0
ARD_20_23	0.996506494	0.003493506	1	0	0
ARD_20_24	0.99939226	0.00060774	1	0	0
ARD_20_25	0.998663325	0.001336675	1	0	0
ARD_20_26	1	0	1	0	0
ARD_20_27	1	0	1	0	0
ARD_20_28	0.998427576	0.001572424	1	0	0
ARD_20_29	1	0	1	0	0
ARD_20_30	1	0	1	0	0
ARD_20_31	1	0	1	0	0
Arlee_06_04	1	0	1	0	0
Arlee_06_05	1	0	1	0	0
Arlee_06_10	0.998389108	0.001610892	1	0	0
Arlee_06_11	1	0	1	0	0
Arlee_06_12	0.994262486	0.005737514	1	0	0
Arlee_06_14	0.998793668	0.001206332	1	0	0
Arlee_06_15	0.997535659	0.002464341	1	0	0
Arlee_06_16	1	0	1	0	0
Arlee_06_17	1	0	1	0	0
Arlee_06_18	1	0	1	0	0
Arlee_06_19	1	0	1	0	0
Arlee_06_20	1	0	1	0	0
Arlee_06_21	0.998151116	0.001848884	1	0	0
Arlee_06_22	0.993812931	0.006187069	1	0	0
Arlee_06_23	1	0	1	0	0
Arlee_06_24	0.998715287	0.001284713	1	0	0
Arlee_08_02	1	0	1	0	0
Arlee_08_07	1	0	1	0	0
Arlee_08_08	0.997891075	0.002108925	1	0	0
Arlee_08_09	1	0	1	0	0
Arlee_08_11	1	0	1	0	0
Arlee_08_13	1	0	1	0	0
Arlee_08_14	0.997107668	0.002892332	1	0	0
Arlee_08_16	1	0	1	0	0
Arlee_08_18	0.999939208	0.0000608	1	0	0
Arlee_08_20	0.996592004	0.003407996	1	0	0
Arlee_BY21_01_1	0.999501316	0.000498684	1	0	0
Arlee_BY21_01	0.999497245	0.000502755	1	0	0
Arlee_BY21_02	1	0	1	0	0
Arlee_BY21_03	0.995709179	0.004290821	1	0	0
Arlee_BY21_04	1	0	1	0	0
Arlee_BY21_05	1	0	1	0	0
Arlee_BY21_06	1	0	1	0	0
Arlee_BY21_07	1	0	1	0	0
ArleeBY_21_07	0.998092648	0.001907352	1	0	0
Arlee_BY21_08	1	0	1	0	0
Arlee_BY21_09	1	0	1	0	0
Arlee_BY21_10	1	0	1	0	0
Arlee_BY21_13	0.999346025	0.000653975	1	0	0
Arlee_BY21_15	0.998909904	0.001090096	1	0	0
Arlee_BY21_17	1	0	1	0	0
Arlee_BY21_18	1	0	1	0	0
Arlee_BY21_19	1	0	1	0	0
Arlee_BY21_20	1	0	1	0	0
Arlee_BY21_21	1	0	1	0	0
Arlee_BY21_22	1	0	1	0	0
Arlee_BY21_23	1	0	1	0	0
Arlee_BY21_24	1	0	1	0	0
Arlee_BY21_25	1	0	1	0	0
Arlee_BY21_27	1	0	1	0	0
Arlee_BY21_29	1	0	1	0	0
Arlee_BY21_30	0.998643345	0.001356655	1	0	0
AT_AB_0228	0.008309919	0.988644783	0.996954702	0.002942315	0.000102983
AT_AT_0003	0.105225257	0.89233353	0.997558787	0.002441213	0
