Sample_ID	Ancestry	Diagnostics	ADMIXTURE	ELAI
Abbot_20_01	CRT	0.892288487	0.964499	0.924324422
Abbot_20_01	IRT	0.101311141	0.033242	0.069301017
Abbot_20_01	RBT	0.993599627	0.997741	0.993625439
Abbot_20_01	WCT	0.005031669	0.002249	0.006374561
Abbot_20_01	YCT	0.001368703	1e-5	0
Abbot_20_03	CRT	0.89474968	0.968754	0.908828209
Abbot_20_03	IRT	0.101008941	0.030351	0.088590549
Abbot_20_03	RBT	0.995758622	0.999105	0.997418757
Abbot_20_03	WCT	0.003539856	8.85e-4	0.002581243
Abbot_20_03	YCT	7.01523e-4	1e-5	0
Abbot_20_26	CRT	0.917910018	0.97975	0.931448195
Abbot_20_26	IRT	0.078120001	0.01759	0.063369683
Abbot_20_26	RBT	0.996030019	0.99734	0.994817878
Abbot_20_26	WCT	0.002051456	7.43e-4	0.003791418
Abbot_20_26	YCT	0.001918525	0.001917	0.001390703
AdamsBR3_17_01	CRT	0	1.1e-5	0.001233883
AdamsBR3_17_01	IRT	0.997947847	0.999969	0.994128054
AdamsBR3_17_01	RBT	0.997947847	0.99998	0.995361937
AdamsBR3_17_01	WCT	0.002052153	1e-5	0.004638063
AdamsBR3_17_01	YCT	0	1e-5	0
AdamsBR3_17_02	CRT	0	1.1e-5	9.25461e-4
AdamsBR3_17_02	IRT	0.998012574	0.999969	0.995395389
AdamsBR3_17_02	RBT	0.998012574	0.99998	0.99632085
AdamsBR3_17_02	WCT	0.001782771	1e-5	0.00367915
AdamsBR3_17_02	YCT	2.04655e-4	1e-5	0
AdamsBR3_17_03	CRT	0	1.2e-5	6.82585e-4
AdamsBR3_17_03	IRT	0.997513293	0.999968	0.995372551
AdamsBR3_17_03	RBT	0.997513293	0.99998	0.996055136
AdamsBR3_17_03	WCT	0.002418233	1e-5	0.003944864
AdamsBR3_17_03	YCT	6.84737e-5	1e-5	0
AdamsBR3_17_07	CRT	0	1.1e-5	7.95225e-5
AdamsBR3_17_07	IRT	0.99894974	0.999969	0.997175436
AdamsBR3_17_07	RBT	0.99894974	0.99998	0.997254958
AdamsBR3_17_07	WCT	8.95692e-4	1e-5	0.002745042
AdamsBR3_17_07	YCT	1.54568e-4	1e-5	0
AdamsBR3_17_09	CRT	0	1.1e-5	3.97547e-4
AdamsBR3_17_09	IRT	0.997490816	0.999969	0.994274755
AdamsBR3_17_09	RBT	0.997490816	0.99998	0.994672302
AdamsBR3_17_09	WCT	0.002306159	1e-5	0.005327698
AdamsBR3_17_09	YCT	2.03025e-4	1e-5	0
AdamsBR3_17_11	CRT	0	1.1e-5	0.001771035
AdamsBR3_17_11	IRT	0.998088154	0.999969	0.995914668
AdamsBR3_17_11	RBT	0.998088154	0.99998	0.997685704
AdamsBR3_17_11	WCT	0.001841569	1e-5	0.002314296
AdamsBR3_17_11	YCT	7.02766e-5	1e-5	0
AdamsBR3_17_12	CRT	0	1.1e-5	7.08952e-4
AdamsBR3_17_12	IRT	0.997105806	0.999969	0.996096023
AdamsBR3_17_12	RBT	0.997105806	0.99998	0.996804975
AdamsBR3_17_12	WCT	0.002487598	1e-5	0.00315865
AdamsBR3_17_12	YCT	4.06596e-4	1e-5	3.64e-5
AdamsBR3_17_13	CRT	0	1.1e-5	0.001197487
AdamsBR3_17_13	IRT	0.998325923	0.999969	0.995843017
AdamsBR3_17_13	RBT	0.998325923	0.99998	0.997040504
AdamsBR3_17_13	WCT	0.001601468	1e-5	0.002959496
AdamsBR3_17_13	YCT	7.26087e-5	1e-5	0
AdamsBR3_17_15	CRT	0	1.1e-5	0.001635175
AdamsBR3_17_15	IRT	0.99755223	0.999969	0.994875281
AdamsBR3_17_15	RBT	0.99755223	0.99998	0.996510456
AdamsBR3_17_15	WCT	0.002312004	1e-5	0.003489544
AdamsBR3_17_15	YCT	1.35766e-4	1e-5	0
AdamsBR3_17_19	CRT	0	1e-5	0.001508949
AdamsBR3_17_19	IRT	0.998511156	0.99997	0.994638954
AdamsBR3_17_19	RBT	0.998511156	0.99998	0.996147903
AdamsBR3_17_19	WCT	0.001421119	1e-5	0.003852097
AdamsBR3_17_19	YCT	6.77245e-5	1e-5	0
AdamsBR3_17_20	CRT	0	1.1e-5	0.001961005
