Ancestry	Method1	Method2	Correlation	RMSE	MethodPair
CRT	Diagnostics	ADMIXTURE	0.9918667370183025	0.049146286746705105	Diagnostics vs ADMIXTURE
CRT	Diagnostics	ELAI	0.9950363093200032	0.028112409066849697	Diagnostics vs ELAI
CRT	ADMIXTURE	ELAI	0.9945817516657494	0.045917451801975	ADMIXTURE vs ELAI
IRT	Diagnostics	ADMIXTURE	0.9949000065855748	0.047747941963814024	Diagnostics vs ADMIXTURE
IRT	Diagnostics	ELAI	0.9977884422972859	0.028427586268550728	Diagnostics vs ELAI
IRT	ADMIXTURE	ELAI	0.9961283206581193	0.04423149861990814	ADMIXTURE vs ELAI
RBT	Diagnostics	ADMIXTURE	0.9999817562518998	0.003253387467272931	Diagnostics vs ADMIXTURE
RBT	Diagnostics	ELAI	0.9999413058097874	0.004714771081981514	Diagnostics vs ELAI
RBT	ADMIXTURE	ELAI	0.9999384360480563	0.00549796729472793	ADMIXTURE vs ELAI
WCT	Diagnostics	ADMIXTURE	0.9999814597901405	0.0029609250655556136	Diagnostics vs ADMIXTURE
WCT	Diagnostics	ELAI	0.9999413166587365	0.00459615453760093	Diagnostics vs ELAI
WCT	ADMIXTURE	ELAI	0.9999375089648319	0.005324542394518397	ADMIXTURE vs ELAI
YCT	Diagnostics	ADMIXTURE	0.9999665510712039	0.0013362432752705598	Diagnostics vs ADMIXTURE
YCT	Diagnostics	ELAI	0.9999091032882749	0.002059846624529379	Diagnostics vs ELAI
YCT	ADMIXTURE	ELAI	0.9998871879559154	0.002419389039918023	ADMIXTURE vs ELAI
