Sample_ID	norm_pCRT	norm_pIRT	norm_pRBT	norm_pWCT	norm_pYCT
Abbot_20_01	0.892288487	0.101311141	0.993599627	0.005031669	0.001368703
Abbot_20_03	0.89474968	0.101008941	0.995758622	0.003539856	0.000701523
Abbot_20_26	0.917910018	0.078120001	0.996030019	0.002051456	0.001918525
AdamsBR3_17_01	0	0.997947847	0.997947847	0.002052153	0
AdamsBR3_17_02	0	0.998012574	0.998012574	0.001782771	0.000204655
AdamsBR3_17_03	0	0.997513293	0.997513293	0.002418233	6.84737E-05
AdamsBR3_17_07	0	0.99894974	0.99894974	0.000895692	0.000154568
AdamsBR3_17_09	0	0.997490816	0.997490816	0.002306159	0.000203025
AdamsBR3_17_11	0	0.998088154	0.998088154	0.001841569	7.02766E-05
AdamsBR3_17_12	0	0.997105806	0.997105806	0.002487598	0.000406596
AdamsBR3_17_13	0	0.998325923	0.998325923	0.001601468	7.26087E-05
AdamsBR3_17_15	0	0.99755223	0.99755223	0.002312004	0.000135766
AdamsBR3_17_19	0	0.998511156	0.998511156	0.001421119	6.77245E-05
AdamsBR3_17_20	0	0.997185133	0.997185133	0.002814867	0
AdamsBR3_17_22	0	0.996361773	0.996361773	0.003638227	0
AdamsBR3_17_24	0	0.998445668	0.998445668	0.001418996	0.000135336
AdamsBR3_17_25	0	0.99748492	0.99748492	0.002312023	0.000203057
AdamsBR3_17_28	0	0.998154908	0.998154908	0.001777404	6.76877E-05
ARD_20_01	0.988939982	0.009156851	0.998096834	0.000787255	0.001115912
ARD_20_02	0.997549756	0	0.997549756	0.001115831	0.001334413
ARD_20_03	0.997858616	0	0.997858616	0.000386752	0.001754632
ARD_20_05	0.998017794	0	0.998017794	0.000649746	0.00133246
ARD_20_06	0.998991288	0	0.998991288	0.000331378	0.000677334
ARD_20_07	0.998431194	0	0.998431194	0.000652768	0.000916038
ARD_20_10	0.997402294	0	0.997402294	0.001119368	0.001478338
ARD_20_11	0.997962754	0	0.997962754	0.001035826	0.00100142
ARD_20_12	0.997223608	0	0.997223608	0.001220503	0.001555889
ARD_20_13	0.997707034	0	0.997707034	0.001027028	0.001265938
ARD_20_14	0.998251072	0	0.998251072	0.000836699	0.00091223
ARD_20_15	0.998403167	0	0.998403167	0.000466897	0.001129936
ARD_20_16	0.997162714	0	0.997162714	0.001577921	0.001259365
ARD_20_17	0.997982684	0	0.997982684	0.000763902	0.001253413
ARD_20_18	0.998225241	0	0.998225241	0.000385294	0.001389465
ARD_20_20	0.997513944	0	0.997513944	0.000671328	0.001814729
ARD_20_21	0.998548361	0	0.998548361	0.000302383	0.001149256
ARD_20_22	0.998053008	0	0.998053008	0.000466113	0.001480879
ARD_20_23	0.997502477	0	0.997502477	0.000854021	0.001643502
ARD_20_24	0.997906311	0	0.997906311	0.000773751	0.001319939
