"Axis1","Axis2","Axis3","sample_id","population","group"
-55.4146946231053,-54.9116540420856,-79.0097055221798,"Abbot_20_01","Abbot","Flathead"
-61.261403756616,-59.1268133149768,-86.5247535622662,"Abbot_20_03","Abbot","Flathead"
-58.556526128716,-61.132264749406,-87.6053818950744,"Abbot_20_26","Abbot","Flathead"
-98.7321840588018,10.1745338039495,6.82825189030185,"AdamsBR3_17_01","Adams","Athabasca"
-103.647777289374,10.2505151539178,6.39336487899102,"AdamsBR3_17_02","Adams","Athabasca"
-102.636578667741,10.5797983523235,6.35516798172517,"AdamsBR3_17_03","Adams","Athabasca"
-93.8005442204554,10.1528245038051,7.43665344994657,"AdamsBR3_17_07","Adams","Athabasca"
-102.797619195678,10.0127847320839,5.88860219433386,"AdamsBR3_17_09","Adams","Athabasca"
-100.803456403563,9.82307091405674,6.07475793471869,"AdamsBR3_17_11","Adams","Athabasca"
-103.508125757657,10.4568437998641,7.05102885191211,"AdamsBR3_17_12","Adams","Athabasca"
-99.0587720139423,9.82563251984321,6.54737980937567,"AdamsBR3_17_13","Adams","Athabasca"
-103.56582272654,9.90314474739202,6.14379916839409,"AdamsBR3_17_15","Adams","Athabasca"
-103.692674489025,9.72694033724161,5.61482395443205,"AdamsBR3_17_19","Adams","Athabasca"
-98.509295719267,10.0575468739587,7.40829518437947,"AdamsBR3_17_20","Adams","Athabasca"
-103.818186654448,10.310522939476,6.43734782564612,"AdamsBR3_17_22","Adams","Athabasca"
-103.800434033214,10.0981211337816,5.76098247358254,"AdamsBR3_17_24","Adams","Athabasca"
-103.160669012734,10.6405929199979,6.5194689519442,"AdamsBR3_17_25","Adams","Athabasca"
-104.506845559956,10.0554218801178,6.30556162234137,"AdamsBR3_17_28","Adams","Athabasca"
-60.6019618409173,-73.0059771310686,-106.004946735206,"ARD_20_01","Arlee","Hatchery_CRT"
-61.788461484265,-78.3684095422472,-112.718899130124,"ARD_20_02","Arlee","Hatchery_CRT"
-63.0543738977727,-72.0606051237721,-104.912108875195,"ARD_20_03","Arlee","Hatchery_CRT"
-62.0797213617603,-79.7435987761712,-115.497711267536,"ARD_20_05","Arlee","Hatchery_CRT"
-53.7909665057063,-65.071543167769,-94.9438881875034,"ARD_20_06","Arlee","Hatchery_CRT"
-63.6176543220586,-76.807710604731,-111.386852934689,"ARD_20_07","Arlee","Hatchery_CRT"
-62.3294371219427,-77.1387668878037,-111.70976142358,"ARD_20_10","Arlee","Hatchery_CRT"
-61.4659068226865,-77.1697238290585,-111.712389254266,"ARD_20_11","Arlee","Hatchery_CRT"
-62.2108142566572,-77.0605581147938,-111.456168280618,"ARD_20_12","Arlee","Hatchery_CRT"
-62.3903347924953,-79.0592036693121,-115.219587426097,"ARD_20_13","Arlee","Hatchery_CRT"
-62.8016037912202,-78.0043460854025,-113.579255973876,"ARD_20_14","Arlee","Hatchery_CRT"
-64.2958515137345,-75.0047059471613,-109.495332206272,"ARD_20_15","Arlee","Hatchery_CRT"
-63.429490054675,-77.0047785578156,-112.093201272328,"ARD_20_16","Arlee","Hatchery_CRT"
-53.5020813635789,-67.8983292252935,-98.7041937269717,"ARD_20_17","Arlee","Hatchery_CRT"
-61.1838910588659,-74.9514605210185,-109.113273713753,"ARD_20_18","Arlee","Hatchery_CRT"
-60.6378793948206,-76.7211479124941,-110.985615260627,"ARD_20_20","Arlee","Hatchery_CRT"
-56.5059857712875,-75.0570532220202,-108.734084386233,"ARD_20_21","Arlee","Hatchery_CRT"
-65.1310541715032,-74.5742315060337,-109.073874335659,"ARD_20_22","Arlee","Hatchery_CRT"
-62.8512136234889,-74.2719629933212,-108.05119171424,"ARD_20_23","Arlee","Hatchery_CRT"
-61.7622846558144,-73.3802442174972,-106.213984859887,"ARD_20_24","Arlee","Hatchery_CRT"
-59.8608739394459,-75.8302617642241,-110.112505071274,"ARD_20_25","Arlee","Hatchery_CRT"
-58.8746312040713,-73.8948205321719,-107.522136055898,"ARD_20_26","Arlee","Hatchery_CRT"
-62.3153613458917,-78.6589482664879,-113.406766853749,"ARD_20_27","Arlee","Hatchery_CRT"
-59.2676115079701,-71.2257178109629,-103.002460429029,"ARD_20_28","Arlee","Hatchery_CRT"
-60.6416141895772,-75.6823349940887,-110.319444089904,"ARD_20_29","Arlee","Hatchery_CRT"
-63.0084536309951,-77.9911456199741,-113.139599827994,"ARD_20_30","Arlee","Hatchery_CRT"
-61.389304259132,-76.9801093469135,-111.979200817754,"ARD_20_31","Arlee","Hatchery_CRT"
-62.7098287882725,-76.7448829395465,-111.199664217961,"Arlee_06_04","Arlee","Hatchery_CRT"
-54.0354039673993,-66.8204094962217,-96.0814161365675,"Arlee_06_05","Arlee","Hatchery_CRT"
-61.9423721674452,-77.3821183212207,-111.299227957019,"Arlee_06_10","Arlee","Hatchery_CRT"
-59.9220382473707,-76.4191132364649,-110.640462508146,"Arlee_06_11","Arlee","Hatchery_CRT"
-60.739047794775,-72.7768909037484,-105.288616630539,"Arlee_06_12","Arlee","Hatchery_CRT"
-57.0183073314704,-70.7907216358948,-102.806502379858,"Arlee_06_14","Arlee","Hatchery_CRT"
-59.5981355546133,-74.2099977242604,-107.107655220794,"Arlee_06_15","Arlee","Hatchery_CRT"
-61.6750744958795,-72.6101686368673,-105.436332384056,"Arlee_06_16","Arlee","Hatchery_CRT"
-60.6062267684747,-75.1422313367192,-108.545574428781,"Arlee_06_17","Arlee","Hatchery_CRT"
-55.7775479292299,-71.2660246578141,-103.180386714759,"Arlee_06_18","Arlee","Hatchery_CRT"
-61.0606210092164,-74.6090780061632,-108.052007369017,"Arlee_06_19","Arlee","Hatchery_CRT"
-61.5578854434358,-77.6596576556665,-112.261218107562,"Arlee_06_20","Arlee","Hatchery_CRT"
-61.6628946496447,-75.8235519155159,-109.56085076027,"Arlee_06_21","Arlee","Hatchery_CRT"
-59.8803499547773,-70.8580103829729,-102.364724009336,"Arlee_06_22","Arlee","Hatchery_CRT"
-60.076556380067,-74.6438356049317,-108.175125001943,"Arlee_06_23","Arlee","Hatchery_CRT"
-58.4648529183617,-72.4467477166118,-104.543584555155,"Arlee_06_24","Arlee","Hatchery_CRT"
-48.4328396168853,-61.5598707371728,-89.2566811681108,"Arlee_08_02","Arlee","Hatchery_CRT"
-57.3180437265772,-72.2054603932674,-104.669026414105,"Arlee_08_07","Arlee","Hatchery_CRT"
-61.6767218125147,-74.7172235375588,-107.975905932769,"Arlee_08_08","Arlee","Hatchery_CRT"
-60.8855076042852,-76.8419601159466,-111.690925349104,"Arlee_08_09","Arlee","Hatchery_CRT"
-55.2327379627868,-70.0561455649288,-100.893026783442,"Arlee_08_11","Arlee","Hatchery_CRT"
-58.0947233534818,-70.4208737383122,-102.377688558265,"Arlee_08_13","Arlee","Hatchery_CRT"
-57.0059685736846,-69.1225583567145,-99.6657983680063,"Arlee_08_14","Arlee","Hatchery_CRT"
-56.8410605806413,-69.5145826523702,-101.247214156697,"Arlee_08_16","Arlee","Hatchery_CRT"
-58.2903477500667,-75.2145654549911,-108.299994487405,"Arlee_08_18","Arlee","Hatchery_CRT"
-62.6159025206428,-74.3832868890491,-108.008177090563,"Arlee_08_20","Arlee","Hatchery_CRT"
-60.9658007602931,-75.4460260436146,-109.234752599718,"Arlee_BY21_01","Arlee","Hatchery_CRT"
-60.0668120775109,-74.7105685056545,-108.05555695816,"Arlee_BY21_02","Arlee","Hatchery_CRT"
-58.569058126764,-70.8637108347887,-103.371806792271,"Arlee_BY21_03","Arlee","Hatchery_CRT"
-49.2120344568096,-61.6761226606338,-89.0710350326374,"Arlee_BY21_04","Arlee","Hatchery_CRT"
-60.7910984664519,-74.3641629710697,-107.965476958312,"Arlee_BY21_05","Arlee","Hatchery_CRT"
-59.5120068148901,-73.6906648553723,-106.237661295721,"Arlee_BY21_06","Arlee","Hatchery_CRT"
-60.7244066327678,-76.0845666752098,-109.875299243783,"Arlee_BY21_07","Arlee","Hatchery_CRT"
-55.9938310793888,-70.3178048503571,-101.286669634482,"Arlee_BY21_08","Arlee","Hatchery_CRT"
-62.0377953677414,-77.7333487696096,-112.714597728949,"Arlee_BY21_09","Arlee","Hatchery_CRT"
-59.6260425671827,-74.9322399126021,-108.465667812974,"Arlee_BY21_10","Arlee","Hatchery_CRT"
-55.8980750278867,-68.6728720535085,-99.3215448050474,"Arlee_BY21_13","Arlee","Hatchery_CRT"
-60.9481675000474,-71.4072036313508,-103.427154424637,"Arlee_BY21_15","Arlee","Hatchery_CRT"
-60.8366530308772,-74.7033304107796,-108.010568611743,"Arlee_BY21_17","Arlee","Hatchery_CRT"
-47.912870648995,-61.6661501551617,-88.8081951974633,"Arlee_BY21_18","Arlee","Hatchery_CRT"
-58.520402708437,-70.9905277611499,-103.031375734574,"Arlee_BY21_19","Arlee","Hatchery_CRT"
-60.5621461965111,-73.4943564188471,-106.530160088504,"Arlee_BY21_20","Arlee","Hatchery_CRT"
-53.2214068271753,-66.7885046742606,-96.5977100170873,"Arlee_BY21_21","Arlee","Hatchery_CRT"
-60.1235454363851,-73.8756511161265,-106.659571533922,"Arlee_BY21_22","Arlee","Hatchery_CRT"
-61.5591117719138,-75.6597518508635,-109.946043617532,"Arlee_BY21_23","Arlee","Hatchery_CRT"
-57.4799222882748,-72.1012960332859,-104.32606355367,"Arlee_BY21_24","Arlee","Hatchery_CRT"
-61.4255632927228,-76.6036645886498,-110.885232856342,"Arlee_BY21_25","Arlee","Hatchery_CRT"
-58.7019443963837,-73.6761151553712,-106.866392994943,"Arlee_BY21_27","Arlee","Hatchery_CRT"
-53.7629220037215,-66.2149752310347,-95.3271358892883,"Arlee_BY21_29","Arlee","Hatchery_CRT"
-59.9645214740981,-73.5698932501796,-106.705619740248,"Arlee_BY21_30","Arlee","Hatchery_CRT"
-99.6790877776563,7.43922384284477,4.22034386882433,"AT_AB_0228","Athabasca","Athabasca"
-92.280801852871,0.796866818512133,-5.36264898907862,"AT_AT_0003","Athabasca","Athabasca"
-66.2850277005418,-75.144778734234,-108.896532543223,"AT_BB_0001","Beaver","Hatchery_Unk"
226.123451724031,-270.756347198427,167.658436836178,"AuburnFH_14_23","Auburn_Hatch","YCT"
226.025503263366,-270.739010901289,167.62616606081,"AuburnFH_14_24","Auburn_Hatch","YCT"
226.612102018991,-271.126464975489,168.010955700538,"AuburnFH_14_25","Auburn_Hatch","YCT"
226.406605320872,-270.955640850462,167.796087611361,"AuburnFH_14_26","Auburn_Hatch","YCT"
226.418450576971,-270.842433759296,167.55861665523,"AuburnFH_14_43","Auburn_Hatch","YCT"
226.001800604048,-270.080786136632,167.162857217353,"AuburnFH_14_44","Auburn_Hatch","YCT"
226.241484991815,-270.804132253604,167.699843082204,"AuburnFH_14_45","Auburn_Hatch","YCT"
225.138892359722,-270.056019548268,166.943733198401,"AuburnFH_14_46","Auburn_Hatch","YCT"
-102.631200469898,7.54122399931471,2.52259617556031,"B10_21_17","Up_McLeod","Athabasca"
330.631798431141,14.6227482975479,-3.83174526617398,"Baree_17_121","Lo_Baree","Kootenai"
321.926863854157,12.5295140272231,-1.35285113685051,"Baree_17_122","Lo_Baree","Kootenai"
340.267690881022,22.4698169687282,-7.42965623964341,"Baree_17_123","Lo_Baree","Kootenai"
331.411887366696,10.1851856025059,-1.15957042492684,"Baree_17_124","Lo_Baree","Kootenai"
332.257338444384,11.8663561208376,-2.83687512570389,"Baree_17_125","Lo_Baree","Kootenai"
336.692311903703,25.6625980066277,-7.83259327596819,"Baree_17_126","Lo_Baree","Kootenai"
320.917648606637,18.4277619157261,-7.11447047119563,"Baree_17_128","Lo_Baree","Kootenai"
351.895021358799,26.9126495292943,-7.19823980408745,"Baree_17_129","Lo_Baree","Kootenai"
343.518119028561,17.3656783870247,-3.4610318314589,"Baree_17_130","Lo_Baree","Kootenai"
336.194905571989,18.0680235104697,-6.55709327694817,"Baree_17_131","Lo_Baree","Kootenai"
333.377409092145,14.0632672635166,-4.24123620613724,"Baree_17_132","Lo_Baree","Kootenai"
344.363941709143,22.3736632707115,-5.41812390401012,"Baree_17_133","Lo_Baree","Kootenai"
344.34349391209,23.2289458154333,-6.06592689344319,"Baree_17_134","Lo_Baree","Kootenai"
301.277465483407,25.780268305215,-9.36733353968108,"Baree_17_135","Lo_Baree","Kootenai"
344.478988128274,23.1133661607068,-6.18931010921615,"Baree_17_136","Lo_Baree","Kootenai"
335.96398731355,25.9936139309086,-8.81527157925979,"Baree_17_137","Lo_Baree","Kootenai"
322.48982824935,15.9052328966349,-7.57257587182693,"Baree_17_138","Lo_Baree","Kootenai"
338.274434979897,16.0251701224165,-3.28835786402729,"Baree_17_139","Lo_Baree","Kootenai"
354.328683858435,31.168989303559,-8.00762081416938,"Baree_17_140","Lo_Baree","Kootenai"
318.191463582081,13.4762608855259,-5.0482479329007,"Baree_17_141","Lo_Baree","Kootenai"
329.996301918447,21.7599260117551,-8.19585367768113,"Baree_17_142","Lo_Baree","Kootenai"
311.885686044652,24.2270562136548,-9.27659752382351,"Baree_17_143","Lo_Baree","Kootenai"
343.468339175554,21.4320945858461,-5.16096843787106,"Baree_17_144","Lo_Baree","Kootenai"
331.348878111132,26.9751070180551,-8.93821594937542,"Baree_17_145","Lo_Baree","Kootenai"
339.41306940916,29.4527491574241,-8.82710059895374,"Baree_17_146","Lo_Baree","Kootenai"
276.718569591667,4.33370360281656,-1.93623657583794,"Baree_17_147","Lo_Baree","Kootenai"
348.539145623951,29.3879201361718,-8.28566013129876,"Baree_17_149","Lo_Baree","Kootenai"
337.76152253125,21.4790105883575,-6.11280910210994,"Baree_17_150","Lo_Baree","Kootenai"
-103.480337337221,8.69768181915648,3.86446131276045,"BC1_23_01","Lo_McLeod","Athabasca"
-101.899725131665,9.50436412127467,4.68246901720105,"BC2_23_01","Lo_McLeod","Athabasca"
-103.210186628321,8.0823732549187,3.05664524443179,"BC2_23_02","Lo_McLeod","Athabasca"
-96.3866424138425,7.60639347195989,2.97145489550746,"BC2_23_04","Lo_McLeod","Athabasca"
-102.454604241151,8.85302140210662,4.32492104830439,"BC3_23_01","Lo_McLeod","Athabasca"
-101.260954020267,7.5243047299895,2.72841270791959,"BC3_23_02","Lo_McLeod","Athabasca"
-101.233242676484,8.71908811381131,3.95408750731266,"BCC1_23_01","Lo_McLeod","Athabasca"
-97.7745789863556,8.64011256845436,4.08170951670075,"BCC1_23_03","Lo_McLeod","Athabasca"
-91.764284351388,24.2897081592289,31.1928955883389,"Bear_17_184","Bear_17","Kootenai"
-94.860958873247,24.745260441138,32.0641784105762,"Bear_17_200","Bear_17","Kootenai"
-87.8685471419271,23.2819848336389,30.3264782513105,"Bear_17_201","Bear_17","Kootenai"
-108.543871963293,28.3565618819061,35.4349962247253,"Bear_17_202","Bear_17","Kootenai"
-105.436348226735,26.7736628834855,34.1796213035418,"Bear_17_203","Bear_17","Kootenai"
-107.177191787502,28.7315608456371,35.6705966847276,"Bear_17_205","Bear_17","Kootenai"
-103.72256995861,27.1894535800344,34.2865231331595,"Bear_17_208","Bear_17","Kootenai"
-106.064196932483,27.6739650875464,35.1731070582721,"Bear_17_209","Bear_17","Kootenai"
-107.55859529265,28.0784450267091,35.9338876577007,"Bear_17_210","Bear_17","Kootenai"
-99.9156368757745,21.0923626258019,25.2996077617694,"Bear_21_001","Bear_21","Kootenai"
-105.913865215631,24.6019674078825,29.4853960866057,"Bear_21_002","Bear_21","Kootenai"
-106.167940049259,22.4601108302669,27.3109291744596,"Bear_21_003","Bear_21","Kootenai"
-99.4112565799557,17.734629002339,20.4043027749128,"Bear_21_004","Bear_21","Kootenai"
-102.600710194105,18.4873820744495,21.6365596379246,"Bear_21_005","Bear_21","Kootenai"
-104.914419180558,21.7174743538819,26.7440756908451,"Bear_21_006","Bear_21","Kootenai"
-104.8846322501,21.753061340317,26.0035038344144,"Bear_21_007","Bear_21","Kootenai"
-106.045561896531,21.6057181759563,26.1133619003152,"Bear_21_008","Bear_21","Kootenai"
-103.783242468458,18.8354927261024,22.323565638437,"Bear_21_009","Bear_21","Kootenai"
-103.772127794337,17.3858105468216,19.095490275589,"Bear_21_010","Bear_21","Kootenai"
-104.434892148493,21.2127041393393,25.1330171713201,"Bear_21_011","Bear_21","Kootenai"
-105.224643979952,17.8126229081828,21.253761945824,"Bear_21_013","Bear_21","Kootenai"
-92.2109027985079,17.9573222686938,21.7580400313641,"Bear_21_014","Bear_21","Kootenai"
-102.159760145937,20.8729654447434,24.4468233714344,"Bear_21_015","Bear_21","Kootenai"
-105.458633587385,20.2289706282311,23.6409623248635,"Bear_21_016","Bear_21","Kootenai"
-99.8421087743646,18.6018818838021,21.4652773466354,"Bear_21_017","Bear_21","Kootenai"
-103.517887382655,21.3191342371792,24.3359286015093,"Bear_21_018","Bear_21","Kootenai"
-106.759851830643,23.9119841275693,29.2735709175299,"Bear_21_019","Bear_21","Kootenai"
-103.872904504567,19.7110398404905,23.1979310617045,"Bear_21_021","Bear_21","Kootenai"
-104.180190442792,18.8133597198755,21.5907270228199,"Bear_21_022","Bear_21","Kootenai"
-104.334458430975,20.1499727426465,23.1402500928768,"Bear_21_023","Bear_21","Kootenai"
-103.245457971653,19.6781570733912,23.3897296533955,"Bear_21_024","Bear_21","Kootenai"
-102.625303826536,19.6645328148084,22.9474551409224,"Bear_21_026","Bear_21","Kootenai"
-106.358075727476,20.0283699560154,23.536494632217,"Bear_21_027","Bear_21","Kootenai"
-105.511801657495,21.4502339752038,26.1261668397825,"Bear_21_028","Bear_21","Kootenai"
-104.532501323674,20.5617164163165,24.1822128779325,"Bear_21_029","Bear_21","Kootenai"
-107.840705863276,24.9913906788833,30.4368368895524,"Bear_21_030","Bear_21","Kootenai"
