****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Random seed: 1254
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 3166x190081
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 47.015	Loglikelihood: -1.4379e+08	(delta): 8.43363e+08
2 (EM) 	Elapsed: 46.162	Loglikelihood: -1.38999e+08	(delta): 4.79065e+06
3 (EM) 	Elapsed: 46.452	Loglikelihood: -1.37956e+08	(delta): 1.04353e+06
4 (EM) 	Elapsed: 46.524	Loglikelihood: -1.37461e+08	(delta): 494591
5 (EM) 	Elapsed: 42.297	Loglikelihood: -1.37216e+08	(delta): 244907
Initial loglikelihood: -1.37216e+08
Starting main algorithm
1 (QN/Block) 	Elapsed: 140.193	Loglikelihood: -1.02221e+08	(delta): 3.49955e+07
2 (QN/Block) 	Elapsed: 137.756	Loglikelihood: -7.72995e+07	(delta): 2.49211e+07
3 (QN/Block) 	Elapsed: 146.211	Loglikelihood: -7.04105e+07	(delta): 6.88906e+06
4 (QN/Block) 	Elapsed: 146.334	Loglikelihood: -6.63642e+07	(delta): 4.04623e+06
5 (QN/Block) 	Elapsed: 147.035	Loglikelihood: -6.43937e+07	(delta): 1.97053e+06
6 (QN/Block) 	Elapsed: 152.051	Loglikelihood: -6.36742e+07	(delta): 719464
7 (QN/Block) 	Elapsed: 148.172	Loglikelihood: -6.35722e+07	(delta): 102042
8 (QN/Block) 	Elapsed: 160.25	Loglikelihood: -6.35507e+07	(delta): 21461.3
9 (QN/Block) 	Elapsed: 148.048	Loglikelihood: -6.35487e+07	(delta): 2058.96
10 (QN/Block) 	Elapsed: 158.504	Loglikelihood: -6.35486e+07	(delta): 112.279
11 (QN/Block) 	Elapsed: 147.362	Loglikelihood: -6.35486e+07	(delta): 4.13072
12 (QN/Block) 	Elapsed: 159.871	Loglikelihood: -6.35486e+07	(delta): 0.227729
13 (QN/Block) 	Elapsed: 160.083	Loglikelihood: -6.35486e+07	(delta): 0.00254588
14 (QN/Block) 	Elapsed: 148.12	Loglikelihood: -6.35486e+07	(delta): 0.000839584
