sample_id	population	group
AdamsBR3_17_01	Adams	Athabasca
AdamsBR3_17_02	Adams	Athabasca
AdamsBR3_17_03	Adams	Athabasca
AdamsBR3_17_07	Adams	Athabasca
AdamsBR3_17_09	Adams	Athabasca
AdamsBR3_17_11	Adams	Athabasca
AdamsBR3_17_12	Adams	Athabasca
AdamsBR3_17_13	Adams	Athabasca
AdamsBR3_17_15	Adams	Athabasca
AdamsBR3_17_19	Adams	Athabasca
AdamsBR3_17_20	Adams	Athabasca
AdamsBR3_17_22	Adams	Athabasca
AdamsBR3_17_24	Adams	Athabasca
AdamsBR3_17_25	Adams	Athabasca
AdamsBR3_17_28	Adams	Athabasca
ARD_20_01	Arlee	Hatchery_CRT
ARD_20_02	Arlee	Hatchery_CRT
ARD_20_03	Arlee	Hatchery_CRT
ARD_20_05	Arlee	Hatchery_CRT
ARD_20_06	Arlee	Hatchery_CRT
ARD_20_07	Arlee	Hatchery_CRT
ARD_20_10	Arlee	Hatchery_CRT
ARD_20_11	Arlee	Hatchery_CRT
ARD_20_12	Arlee	Hatchery_CRT
ARD_20_13	Arlee	Hatchery_CRT
ARD_20_14	Arlee	Hatchery_CRT
ARD_20_15	Arlee	Hatchery_CRT
ARD_20_16	Arlee	Hatchery_CRT
ARD_20_17	Arlee	Hatchery_CRT
ARD_20_18	Arlee	Hatchery_CRT
ARD_20_20	Arlee	Hatchery_CRT
ARD_20_21	Arlee	Hatchery_CRT
ARD_20_22	Arlee	Hatchery_CRT
ARD_20_23	Arlee	Hatchery_CRT
ARD_20_24	Arlee	Hatchery_CRT
ARD_20_25	Arlee	Hatchery_CRT
ARD_20_26	Arlee	Hatchery_CRT
ARD_20_27	Arlee	Hatchery_CRT
ARD_20_28	Arlee	Hatchery_CRT
ARD_20_29	Arlee	Hatchery_CRT
ARD_20_30	Arlee	Hatchery_CRT
ARD_20_31	Arlee	Hatchery_CRT
Arlee_06_04	Arlee	Hatchery_CRT
Arlee_06_05	Arlee	Hatchery_CRT
Arlee_06_10	Arlee	Hatchery_CRT
Arlee_06_11	Arlee	Hatchery_CRT
Arlee_06_12	Arlee	Hatchery_CRT
Arlee_06_14	Arlee	Hatchery_CRT
Arlee_06_15	Arlee	Hatchery_CRT
Arlee_06_16	Arlee	Hatchery_CRT
Arlee_06_17	Arlee	Hatchery_CRT
Arlee_06_18	Arlee	Hatchery_CRT
Arlee_06_19	Arlee	Hatchery_CRT
