Replicate	Pair	Mean_Fst	Weighted_Fst
19	RBTvsWCT	0.45502	0.85128
19	RBTvsYCT	0.47124	0.8736
19	WCTvsYCT	0.54849	0.87357
1	RBTvsWCT	0.44236	0.84401
1	RBTvsYCT	0.45832	0.86646
1	WCTvsYCT	0.55094	0.87412
16	RBTvsWCT	0.44868	0.84859
16	RBTvsYCT	0.465	0.87127
16	WCTvsYCT	0.54674	0.87335
4	RBTvsWCT	0.48005	0.85526
4	RBTvsYCT	0.49823	0.87719
4	WCTvsYCT	0.54859	0.87456
20	RBTvsWCT	0.45897	0.85098
20	RBTvsYCT	0.47187	0.87181
20	WCTvsYCT	0.56146	0.87593
12	RBTvsWCT	0.44853	0.84877
12	RBTvsYCT	0.46699	0.8711
12	WCTvsYCT	0.54203	0.87391
5	RBTvsWCT	0.46282	0.85289
5	RBTvsYCT	0.48095	0.8751
5	WCTvsYCT	0.55056	0.87429
10	RBTvsWCT	0.43905	0.84453
10	RBTvsYCT	0.45509	0.86562
10	WCTvsYCT	0.55683	0.87575
2	RBTvsWCT	0.44953	0.84541
2	RBTvsYCT	0.46561	0.86724
2	WCTvsYCT	0.55483	0.87505
8	RBTvsWCT	0.45267	0.85143
8	RBTvsYCT	0.46974	0.87187
8	WCTvsYCT	0.55602	0.87583
15	RBTvsWCT	0.48301	0.86257
15	RBTvsYCT	0.50219	0.88392
15	WCTvsYCT	0.54849	0.87488
11	RBTvsWCT	0.45727	0.85462
11	RBTvsYCT	0.47352	0.87628
11	WCTvsYCT	0.55301	0.87412
14	RBTvsWCT	0.46723	0.85341
14	RBTvsYCT	0.48297	0.87579
14	WCTvsYCT	0.55177	0.87419
7	RBTvsWCT	0.45642	0.85143
7	RBTvsYCT	0.47329	0.87367
7	WCTvsYCT	0.56012	0.87441
17	RBTvsWCT	0.47057	0.85828
17	RBTvsYCT	0.48566	0.87888
17	WCTvsYCT	0.56074	0.87597
18	RBTvsWCT	0.45282	0.852
18	RBTvsYCT	0.47036	0.87376
18	WCTvsYCT	0.5478	0.87422
9	RBTvsWCT	0.45704	0.84847
9	RBTvsYCT	0.4741	0.87029
9	WCTvsYCT	0.55396	0.87456
6	RBTvsWCT	0.45133	0.849
6	RBTvsYCT	0.46854	0.87062
6	WCTvsYCT	0.54919	0.87512
3	RBTvsWCT	0.45656	0.84962
3	RBTvsYCT	0.47322	0.87113
3	WCTvsYCT	0.5528	0.87501
13	RBTvsWCT	0.4425	0.84556
13	RBTvsYCT	0.45916	0.86847
13	WCTvsYCT	0.55102	0.87332
26	RBTvsWCT	0.46756	0.85791
26	RBTvsYCT	0.48478	0.87885
26	WCTvsYCT	0.55618	0.87542
25	RBTvsWCT	0.42867	0.84159
25	RBTvsYCT	0.44485	0.86367
25	WCTvsYCT	0.54981	0.8744
30	RBTvsWCT	0.4625	0.85651
30	RBTvsYCT	0.47772	0.87755
30	WCTvsYCT	0.55794	0.87533
21	RBTvsWCT	0.4692	0.85526
21	RBTvsYCT	0.48894	0.87656
21	WCTvsYCT	0.54132	0.87472
23	RBTvsWCT	0.46363	0.85776
23	RBTvsYCT	0.48043	0.87817
23	WCTvsYCT	0.55642	0.87624
29	RBTvsWCT	0.46881	0.8568
29	RBTvsYCT	0.48323	0.87727
29	WCTvsYCT	0.56159	0.87627
27	RBTvsWCT	0.44992	0.8485
27	RBTvsYCT	0.46592	0.86977
27	WCTvsYCT	0.55673	0.87534
28	RBTvsWCT	0.44661	0.84873
28	RBTvsYCT	0.46142	0.86932
28	WCTvsYCT	0.55444	0.87654
24	RBTvsWCT	0.46741	0.85613
24	RBTvsYCT	0.48529	0.87771
24	WCTvsYCT	0.54191	0.87437
22	RBTvsWCT	0.43214	0.84187
22	RBTvsYCT	0.44716	0.86435
22	WCTvsYCT	0.5506	0.8742
