Sample_ID	RBT_ELAI	WCT_ELAI	YCT_ELAI	# Heterokaryotypic Inversions
KRBY_22_01	0.998374085	0.001625915	0	0
Baree_17_121	0.018242971	0.948326697	0.033430332	0
Baree_17_122	0.017437884	0.936925914	0.045636202	0
Baree_17_123	0.023730438	0.965584648	0.010684913	0
Baree_17_124	0.025227669	0.923254683	0.051517648	1
Baree_17_125	0.03075742	0.927846066	0.041396515	0
Baree_17_126	0.000688315	0.999311685	0	0
Baree_17_128	0.012467486	0.969867677	0.017664838	1
Baree_17_129	0.000714319	0.996518658	0.002767023	0
Baree_17_130	0.018399471	0.955174367	0.026426162	1
Baree_17_131	0.032164442	0.945246702	0.022588856	0
Baree_17_132	0.029492387	0.938703202	0.031804411	0
Baree_17_133	0.007428081	0.974281485	0.018290435	0
Baree_17_134	0.006692837	0.981885155	0.011422007	0
Baree_17_135	0.000924542	0.998635546	0.000439912	0
Baree_17_136	0.006664541	0.986029251	0.007306209	0
Baree_17_137	0.019235036	0.971246253	0.009518711	0
Baree_17_138	0.055711255	0.923228318	0.021060428	1
Baree_17_139	0.012121049	0.956166018	0.031712933	0
Baree_17_140	0.004641799	0.995358201	0	0
Baree_17_141	0.031613176	0.934673572	0.033713252	1
Baree_17_142	0.018072803	0.977077493	0.004849704	0
Baree_17_143	0.00647908	0.985207269	0.008313652	0
Baree_17_144	0.002965327	0.977567955	0.019466718	0
Baree_17_145	0.00227009	0.995373061	0.002356849	0
Baree_17_146	0.005861599	0.994138401	0	0
Baree_17_147	0.022426657	0.917771227	0.059802116	1
Baree_17_149	0.003164859	0.995702894	0.001132248	0
Baree_17_150	0.007135206	0.980772202	0.012092592	0
Bear_17_184	0.993369926	0.006630074	0	0
Bear_17_200	0.994575946	0.005424054	0	0
Bear_17_201	0.998098489	0.001901511	0	0
Bear_17_202	0.99737893	0.00262107	0	0
Bear_17_203	1	0	0	0
Bear_17_205	0.994946052	0.005053948	0	0
Bear_17_208	0.99638989	0.00361011	0	0
Bear_17_209	0.995801912	0.004198088	0	0
Bear_17_210	0.998171882	0.001828118	0	0
Bear_21_001	0.981144456	0.018855544	0	0
Bear_21_002	0.991642931	0.008357069	0	0
Bear_21_003	0.994477199	0.005522801	0	0
Bear_21_004	0.982970499	0.017029501	0	0
Bear_21_005	0.991235842	0.008762336	1.82E-06	0
Bear_21_006	0.99720346	0.00279654	0	0
Bear_21_007	0.992842709	0.007157291	0	0
Bear_21_008	0.993802262	0.006197738	0	0
Bear_21_009	0.993810271	0.006189729	0.00E+00	0
Bear_21_010	0.994234058	0.005765942	0	0
Bear_21_011	0.992529127	0.007470873	0	0
Bear_21_013	0.998737558	0.001262442	0	0
Bear_21_014	0.989164249	0.010835751	0	0
Bear_21_015	0.98971314	0.01028686	0	0
Bear_21_016	0.996449888	0.003550112	0	0
Bear_21_017	0.985272292	0.014727708	0	0
Bear_21_018	0.989653212	0.010346788	0	0
Bear_21_019	0.996122307	0.003877693	0	0
Bear_21_021	0.991791406	0.008208594	0	0
Bear_21_022	0.993961237	0.006038763	0	0
Bear_21_023	0.993820438	0.006179562	0	0
Bear_21_024	0.994852364	0.005147636	0	0
Bear_21_026	0.993422191	0.006577809	0	0
Bear_21_027	0.996890018	0.003109982	0	0
Bear_21_028	0.994994237	0.005005763	0	0
Bear_21_029	0.994160723	0.005839277	0	0
Bear_21_030	0.997460242	0.002539665	9.28E-08	0
Bear_21_031	0.990716041	0.009283959	0	0
Bear_21_032	0.991201394	0.008798606	0	0
Bear_21_033	0.995826309	0.004173691	0	0
Bear_21_034	0.990031385	0.009968615	0	0
Bear_21_035	0.991471372	0.008476637	5.20E-05	0
Bear_21_036	0.992087776	0.007912224	0	0
