Sample_ID	pCRT	pIRT	pRBT	pWCT	pYCT
Abbot_20_01	0.805555556	0.091463415	0.992741204	0.005027322	0.001367521
Abbot_20_03	0.858695652	0.096938776	0.995699122	0.003539644	0.000701481
Abbot_20_26	0.875	0.074468085	0.991876335	0.002042901	0.001910524
AdamsBR3_17_01	0	1	0.996316681	0.002048799	0
AdamsBR3_17_02	0	1	0.997522943	0.001781896	0.000204555
AdamsBR3_17_03	0	0.991452991	0.997797177	0.002418921	6.84932E-05
AdamsBR3_17_07	0	1	0.997966194	0.00089481	0.000154416
AdamsBR3_17_09	0	1	0.996444157	0.002303739	0.000202812
AdamsBR3_17_11	0	0.995575221	0.999036044	0.001843318	7.03433E-05
AdamsBR3_17_12	0	1	0.996206312	0.002485354	0.000406229
AdamsBR3_17_13	0	1	0.998068504	0.001601055	7.259E-05
AdamsBR3_17_15	0	1	0.996281626	0.002309059	0.000135593
AdamsBR3_17_19	0	1	0.99822136	0.001420707	6.77048E-05
AdamsBR3_17_20	0	1	0.997343844	0.002815315	0
AdamsBR3_17_22	0	1	0.997532562	0.003642502	0
AdamsBR3_17_24	0	1	0.998585973	0.001419195	0.000135355
AdamsBR3_17_25	0	1	0.997091379	0.002311111	0.000202977
AdamsBR3_17_28	0	0.995762712	0.998542392	0.001778094	6.7714E-05
ARD_20_01	1	0.009259259	0.997497766	0.000786782	0.001115242
ARD_20_02	1	0	0.99702305	0.001115242	0.001333708
ARD_20_03	1	0	0.997718698	0.000386698	0.001754386
ARD_20_05	1	0	0.997411525	0.000649351	0.001331651
ARD_20_06	1	0	0.998231966	0.000331126	0.000676819
ARD_20_07	1	0	0.997274972	0.000652012	0.000914977
ARD_20_10	1	0	0.997061329	0.001118985	0.001477833
ARD_20_11	1	0	0.997544797	0.001035392	0.001001001
ARD_20_12	1	0	0.996788284	0.00121997	0.00155521
ARD_20_13	1	0	0.997195785	0.001026502	0.001265289
ARD_20_14	1	0	0.997746982	0.000836276	0.000911769
ARD_20_15	1	0	0.997564727	0.000466505	0.001128987
ARD_20_16	1	0	0.996947342	0.00157758	0.001259093
ARD_20_17	1	0	0.997925926	0.000763859	0.001253342
ARD_20_18	1	0	0.997811241	0.000385134	0.001388889
ARD_20_20	1	0	0.9972366	0.000671141	0.001814224
ARD_20_21	1	0	0.996861732	0.000301872	0.001147315
ARD_20_22	1	0	0.997403592	0.00046581	0.001479915
ARD_20_23	1	0	0.997538648	0.000854052	0.001643562
ARD_20_24	1	0	0.997833201	0.000773694	0.001319842
ARD_20_25	1	0	0.9968761	0.000482625	0.001314828
ARD_20_26	1	0	0.997190247	0.00059312	0.000833712
ARD_20_27	1	0	0.997071059	0.001576702	0.001961883
ARD_20_28	1	0	0.997459396	0.000702811	0.000996016
ARD_20_29	1	0	0.997898608	0.000863392	0.001161946
ARD_20_30	1	0	0.997375106	0.00083426	0.001888112
ARD_20_31	1	0	0.997278383	0.000756287	0.001353469
Arlee_06_04	1	0	0.997600069	0.000561903	0.001207386
Arlee_06_05	1	0	0.997524998	0.00064907	0.001091703
Arlee_06_10	1	0	0.997847981	0.000470102	0.001782913
Arlee_06_11	1	0.009009009	0.997884903	0.000289408	0.001322557
Arlee_06_12	1	0	0.997854077	0.000490388	0.001262251
Arlee_06_14	1	0	0.997258202	0.001029866	0.001495357
Arlee_06_15	1	0	0.997373108	0.000681995	0.001180986
Arlee_06_16	1	0.004424779	0.997710663	0.000869901	0.001750036
Arlee_06_17	1	0	0.997900079	0.000862234	0.00094162
Arlee_06_18	1	0	0.997872542	0.000831255	0.001198083
Arlee_06_19	1	0	0.997377852	0.001053236	0.001160429
Arlee_06_20	1	0	0.996720746	0.000849377	0.000860462
Arlee_06_21	1	0	0.998001738	0.000474473	0.001651587
Arlee_06_22	0.989130435	0.004545455	0.997721057	0.000895344	0.000988443
Arlee_06_23	1	0	0.99796352	0.001364522	0.001548444
Arlee_06_24	1	0	0.997996539	0.000703235	0.001681957
Arlee_08_02	1	0	0.998078401	0.000364343	0.000931793
Arlee_08_07	0.989361702	0	0.998098859	0.000806127	0.001543686
Arlee_08_08	1	0	0.998286467	0.000962279	0.001762115
Arlee_08_09	1	0.004273504	0.997692843	0.000762195	0.001450958
Arlee_08_11	1	0	0.997320831	0.000312695	0.001690005
Arlee_08_13	1	0	0.997610733	0.001011122	0.000776759
Arlee_08_14	1	0	0.997770187	0.000832466	0.001279795
Arlee_08_16	1	0	0.997689769	0.000927261	0.001107595
Arlee_08_18	1	0	0.997748762	0.000782167	0.001341482
Arlee_08_20	1	0	0.996313324	0.001139818	0.001075115
Arlee_BY21_01_1	1	0	0.99786247	0.000697489	0.001143467
Arlee_BY21_01	1	0	0.997709655	0.000769971	0.001466706
Arlee_BY21_02	1	0	0.997624494	0.000774893	0.001618123
Arlee_BY21_03	1	0	0.997956909	0.000709076	0.001084431
Arlee_BY21_04	1	0	0.997447317	0.001424501	0.001014573
Arlee_BY21_05	1	0.004310345	0.99789566	0.000673206	0.001753873
Arlee_BY21_06	1	0	0.997139025	0.000680801	0.001551877
Arlee_BY21_07	1	0	0.997702246	0.000662879	0.001078516
ArleeBY_21_07	1	0	0.997599338	0.000543478	0.00125927
Arlee_BY21_08	1	0	0.997960345	0.000414422	0.0012
