Population,majority_taxon,n,prop_any_nonnative,mean_nonnative_genome,genomically_extinct
Basin_Cr,IRT,5,0,0,FALSE
Bear_17,IRT,9,0.3333333333333333,0.0019008973333333333,FALSE
Bear_20,IRT,3,0.6666666666666666,0.005627938999999999,FALSE
Bear_21,IRT,2,0,0,FALSE
Bear_24,IRT,97,0.26804123711340205,0.0017341921443298968,FALSE
Beetle,WCT,30,0,0,FALSE
Bunker_Hill,WCT,22,0.8181818181818182,0.0080682225,FALSE
Burnt,WCT,29,0,0,FALSE
Cable,IRT,28,0.9642857142857143,0.012940489214285714,FALSE
EF_Yaak_20,IRT,101,0.26732673267326734,0.01717448510891089,FALSE
EF_Yaak_21,IRT,106,0.32075471698113206,0.008765470037735848,FALSE
EF_Yaak_22,IRT,113,0.2831858407079646,0.0054474013362831855,FALSE
EF_Yaak_24,IRT,110,0.2909090909090909,0.003783756563636364,FALSE
Flattail,WCT,16,0.5625,0.010689223749999999,FALSE
Flower,WCT,8,0.125,0.001200347125,FALSE
Geiger_Lo,WCT,14,0.5714285714285714,0.06873876778571429,FALSE
Geiger_Lo_2,WCT,11,0.18181818181818182,0.0010104373636363635,FALSE
Grizzly_Yaak,WCT,30,0.13333333333333333,0.003302752,FALSE
Iron,WCT,26,0.038461538461538464,3.620745384615385e-4,FALSE
Koocanusa_Res_15,IRT,1,0,0,FALSE
Lap,WCT,30,0,0,FALSE
Little_Cherry,IRT,27,1,0.018194029333333334,FALSE
Lo_Baree,WCT,7,0.14285714285714285,8.373712857142857e-4,FALSE
Lo_Bramlet,WCT,13,1,0.017911406615384616,FALSE
Lo_Bull_R_07,WCT,7,0.14285714285714285,0.009452257,FALSE
Lo_Bull_R_15,WCT,13,0.3076923076923077,0.005981186461538461,FALSE
Lo_Elk_R_04,WCT,11,0.09090909090909091,0.001155145,FALSE
Lo_Elk_R_12,WCT,1,0,0,FALSE
Lo_Elk_R_16,WCT,15,0.06666666666666667,4.135802e-4,FALSE
Lo_Gold_03,WCT,13,0,0,FALSE
Lo_Gold_16,WCT,17,0,0,FALSE
Lo_Granite,IRT,5,1,0.0127925556,FALSE
Lo_Sand_04,WCT,2,0,0,FALSE
Lo_Sand_15,WCT,11,0,0,FALSE
Lo_StMarys_R_14,WCT,16,0.375,0.0315527853125,FALSE
Lo_StMarys_R_20,WCT,18,0.4444444444444444,0.05406969638888889,FALSE
LostFk_SeventeenMile,WCT,17,0.17647058823529413,0.0011517366470588236,FALSE
No,WCT,30,1,0.026262302166666668,FALSE
Poorman,IRT,17,1,0.011479633529411764,FALSE
Porcupine_Fisher,WCT,24,1,0.01777117,FALSE
Porcupine_LakeCr,WCT,20,0,0,FALSE
Ramsey,IRT,26,0.5769230769230769,0.0048110480769230765,FALSE
Seventeen_Mile,WCT,26,0.46153846153846156,0.0044435095,FALSE
Silverbow,WCT,29,0.27586206896551724,0.0018485201034482758,FALSE
Stahl,WCT,84,0,0,FALSE
Up_Bear_22,IRT,110,0.22727272727272727,0.0016536016454545455,FALSE
Up_Bramlet,WCT,16,1,0.020783585812499998,FALSE
Up_Granite,IRT,30,1,0.0129161598,FALSE
Up_Snowshoe,IRT,2,1,0.34332463300000005,FALSE
Weigle,IRT,8,0,0,FALSE
White_R,WCT,2,0,0,FALSE
Wolf_17,IRT,10,0,0,FALSE
Wolf_20,IRT,97,0,0,FALSE
Wolf_24,IRT,131,0,0,FALSE
