,Sample_ID,Population,Group,Lat,Long,Length (mm),CRT_ELAI,IRT_ELAI,RBT_ELAI,WCT_ELAI,YCT_ELAI
Lower Kootenai R,,,,,,,,,,,
,KRBY_22_01,Kootenai_R_BYF,Yaak_River,48.560722,-115.977785,495,0.174715446,0.823658639,0.998374085,0.001625915,0
,KRBY_22_02,Kootenai_R_BYF,Yaak_River,48.560722,-115.977785,355,0.179307393,0.319629947,0.49893734,0.50106266,0
,KRBY_22_03,Kootenai_R_BYF,Yaak_River,48.560722,-115.977785,303,0.685631783,0.310739367,0.99637115,0.002519175,0.001109676
,KRBY_22_05,Kootenai_R_BYF,Yaak_River,48.560722,-115.977785,350,0.457270861,0.538972398,0.996243259,0.003756741,0
,KRBY_22_06,Kootenai_R_BYF,Yaak_River,48.560722,-115.977785,371,0.125760231,0.374411278,0.500171509,0.499828491,0
,KRBY_22_07,Kootenai_R_BYF,Yaak_River,48.560722,-115.977785,375,0.651682393,0.344389218,0.996071611,0.002881657,0.001046732
,KRBY_22_08,Kootenai_R_BYF,Yaak_River,48.560722,-115.977785,366,0.18789919,0.810843119,0.998742309,0.001257691,0
,KRBY_22_09,Kootenai_R_BYF,Yaak_River,48.560722,-115.977785,528,0.161352356,0.836190119,0.997542475,0.002457525,0.00E+00
,KRBY_22_10,Kootenai_R_BYF,Yaak_River,48.560722,-115.977785,521,0.16401259,0.833486293,0.997498883,0.002501117,0
,,,,,,,,,,,
,Star_11_292,Star_Lo,Lo_Kootenai_R,48.55848,-115.98412,NA,0.123402864,0.875369463,0.998772327,0.001227673,0
,Star_11_293,Star_Lo,Lo_Kootenai_R,48.55848,-115.98412,NA,0.858434161,0.137785117,0.996219279,0.001967978,0.001812743
,Star_11_295,Star_Lo,Lo_Kootenai_R,48.55848,-115.98412,NA,0.861991968,0.121381567,0.983373535,0.014244296,0.002382169
,Star_11_296,Star_Lo,Lo_Kootenai_R,48.55848,-115.98412,NA,0.105209872,0.891410097,0.996619969,0.003380031,0
,Star_11_297,Star_Lo,Lo_Kootenai_R,48.55848,-115.98412,NA,0.616644807,0.375368312,0.992013119,0.005352798,0.002634083
,,,,,,,,,,,
,Troy_11_05,Kootenai_R,Lo_Kootenai_R,48.47009,-115.88801,NA,0.798805397,0.200486186,0.999291583,0.000708417,0
,Troy_11_06,Kootenai_R,Lo_Kootenai_R,48.47009,-115.88801,NA,0.832565988,0.15997531,0.992541298,0.006621753,0.000836949
,Troy_11_14,Kootenai_R,Lo_Kootenai_R,48.47009,-115.88801,NA,0.711869978,0.281576542,0.993446521,0.006251104,0.000302376
,Troy_11_17,Kootenai_R,Lo_Kootenai_R,48.47009,-115.88801,NA,0.724453601,0.259486496,0.983940096,0.012057702,0.004002201
,Troy_11_22,Kootenai_R,Lo_Kootenai_R,48.47009,-115.88801,NA,0.64597721,0.346761512,0.992738722,0.003311283,0.003949995
,Troy_11_23,Kootenai_R,Lo_Kootenai_R,48.47009,-115.88801,NA,0.834275085,0.155216831,0.989491916,0.003527463,0.006980621
,Troy_11_29,Kootenai_R,Lo_Kootenai_R,48.47009,-115.88801,NA,0.584787983,0.406786227,0.99157421,0.00842579,0
,,,,,,,,,,,
,Callahan17_063,Callahan,Callahan_Cr,NA,NA,NA,0.107727904,0.891030362,0.998758266,0.001241734,0
,,,,,,,,,,,
,CallahanNF_22_02,Callahan_NF,Callahan_Cr,48.437488,-116.044891,181,0.132123258,0.866282386,0.998405644,0.001594356,0
,CallahanNF_22_04,Callahan_NF,Callahan_Cr,48.437488,-116.044891,215,0.114113388,0.884169652,0.99828304,0.00171696,0
,CallahanNF_22_06,Callahan_NF,Callahan_Cr,48.437488,-116.044891,170,0.150998637,0.847615355,0.998613992,0.001386008,0
,CallahanNF_22_07,Callahan_NF,Callahan_Cr,48.437488,-116.044891,190,0.090278194,0.907959491,0.998237685,0.001762315,0
,CallahanNF_22_08,Callahan_NF,Callahan_Cr,48.437488,-116.044891,162,0.108670684,0.89022891,0.998899594,0.000855903,0.000244503
,CallahanNF_22_10,Callahan_NF,Callahan_Cr,48.437488,-116.044891,204,0.125547054,0.873877794,0.999424848,0.000575152,0
,CallahanNF_22_11,Callahan_NF,Callahan_Cr,48.437488,-116.044891,204,0.105476169,0.889752064,0.995228233,0.004771767,0
,CallahanNF_22_12,Callahan_NF,Callahan_Cr,48.437488,-116.044891,159,0.11785156,0.880025848,0.997877408,0.001914526,0.000208066
,CallahanNF_22_13,Callahan_NF,Callahan_Cr,48.437488,-116.044891,190,0.1184762,0.880253047,0.998729247,0.001270753,0
,CallahanNF_22_14,Callahan_NF,Callahan_Cr,48.437488,-116.044891,147,0.117738951,0.881342371,0.999081322,0.000918678,0
,CallahanNF_22_15,Callahan_NF,Callahan_Cr,48.437488,-116.044891,176,0.139168556,0.85694203,0.996110586,0.003889414,0
