	RBT_diagnostic_proportion
Abbot_20_01	0.004485310607759588
Abbot_20_03	0.0018229694146242657
Abbot_20_26	0.0059192917438748195
AdamsBR3_17_01	0.0007503986492824313
AdamsBR3_17_02	0.0008996041741633681
AdamsBR3_17_03	0.0006326253953908721
AdamsBR3_17_07	0.00030039050765995795
AdamsBR3_17_09	0.0012085944494180842
AdamsBR3_17_11	9.274717121127805e-05
AdamsBR3_17_12	0.0008495037109898954
AdamsBR3_17_13	0.0009026128266033254
AdamsBR3_17_15	0.001029727793696275
AdamsBR3_17_19	0.0005820721769499418
AdamsBR3_17_20	0.0004270665274746133
AdamsBR3_17_22	0.000716974368166338
AdamsBR3_17_24	0.0005815514001968327
AdamsBR3_17_25	0.0013420416927619218
AdamsBR3_17_28	0.00031356387744131876
ARD_20_01	0.0002966478789676654
ARD_20_02	0.0005180859080633007
ARD_20_03	0.0003399048266485384
ARD_20_05	0.0003289473684210526
ARD_20_06	0.00011193194537721066
ARD_20_07	0.0005662514156285391
ARD_20_10	0.0005665722379603399
ARD_20_11	0.0003814246209592829
ARD_20_12	0.0005210800568450971
ARD_20_13	0.0004705439488048184
ARD_20_14	0.0005180859080633007
ARD_20_15	0.00033131389625141994
ARD_20_16	0.0007515265382808831
ARD_20_17	0.00010955302366345311
ARD_20_18	0.00038823643598951763
ARD_20_20	0.0003885381253035454
ARD_20_21	0.00040903977911851925
ARD_20_22	0.0003300952560596058
ARD_20_23	0.00043012808258459183
ARD_20_24	0.0004410035280282242
ARD_20_25	0.0005364283624305082
ARD_20_26	0.0003013863773357444
ARD_20_27	0.0004704554008280015
ARD_20_28	0.0006033789219629927
ARD_20_29	0.00043604651162790697
ARD_20_30	0.00042217844075429216
ARD_20_31	0.0006221286370597243
Arlee_06_04	0.0003325731660965412
Arlee_06_05	0.0005495109352676119
Arlee_06_10	0.0004766898655734579
Arlee_06_11	0.000585480093676815
Arlee_06_12	0.0005444466442288655
Arlee_06_14	0.0006272869837950862
Arlee_06_15	0.0004938271604938272
Arlee_06_16	0.00043911007025761124
Arlee_06_17	0.00048454307587944567
Arlee_06_18	0.00031486146095717883
Arlee_06_19	0.0005808325266214908
Arlee_06_20	0.00042963528737827
Arlee_06_21	0.0003366355679522939
Arlee_06_22	0.0004550970873786408
Arlee_06_23	0.0006376299784186777
Arlee_06_24	0.00025244875290316067
Arlee_08_02	0.0002442002442002442
Arlee_08_07	0.0003070938683590951
Arlee_08_08	0.00014590020426028595
Arlee_08_09	9.640412609659693e-05
Arlee_08_11	0.000371234620280017
Arlee_08_13	0.0005096839959225281
Arlee_08_14	0.0005782777836189675
Arlee_08_16	0.0003132832080200501
Arlee_08_18	0.0004478057518161011
Arlee_08_20	0.0007209458809958666
Arlee_BY21_01_1	0.0003023583954847813
Arlee_BY21_01	0.0003897875657766517
Arlee_BY21_02	0.0006330963280412973
Arlee_BY21_03	0.000154273372415921
Arlee_BY21_04	0.0007236762754794355
Arlee_BY21_05	0.0008746355685131195
Arlee_BY21_06	0.0010391923990498812
Arlee_BY21_07	0.0003359569975043194
ArleeBY_21_07	0.0003666697222476854
Arlee_BY21_08	0.0006307821698906644
Arlee_BY21_09	0.0002370791844476055
Arlee_BY21_10	0.00014863258026159333
Arlee_BY21_13	0.00047679593134138587
Arlee_BY21_15	0.00034516765285996055
Arlee_BY21_17	0.0003400369182939862
Arlee_BY21_18	0.00030921459492888067
Arlee_BY21_19	0.0006126825283365669
Arlee_BY21_20	0.000689383494189482
Arlee_BY21_21	0.0011169440411035406
Arlee_BY21_22	0.0006442021803766105
Arlee_BY21_23	0.0001924001924001924
Arlee_BY21_24	0.000975659854164527
Arlee_BY21_25	0.00038498556304138594
Arlee_BY21_27	0.00045330915684496827
Arlee_BY21_29	0.0004419889502762431
Arlee_BY21_30	0.00024640252316183715
AT_AB_0228	0.000977198697068404
AT_AT_0003	0.0003384258363952814
AT_BB_0001	0.0010317602727435852
AuburnFH_14_23	1.0
AuburnFH_14_24	1.0
AuburnFH_14_25	0.9999549508964771
AuburnFH_14_26	1.0
AuburnFH_14_43	1.0
AuburnFH_14_44	1.0
AuburnFH_14_45	0.9999548899314327
AuburnFH_14_46	1.0
B10_21_17	0.0009012256669069935
Baree_17_121	0.9843956251178578
Baree_17_122	0.9852386022650276
Baree_17_123	0.97879566733982
Baree_17_124	0.9854521868050408
Baree_17_125	0.9707395498392283
Baree_17_126	0.9998568702290076
Baree_17_128	0.9932989178993349
Baree_17_129	0.999681470695304
Baree_17_130	0.9838272497289483
Baree_17_131	0.9660685006376389
Baree_17_132	0.9778952205882353
Baree_17_133	0.995112053859633
Baree_17_134	0.9961215255332903
Baree_17_135	0.9998365478914678
Baree_17_136	0.9968234969155695
Baree_17_137	0.9819379115710254
Baree_17_138	0.9453999075358299
Baree_17_139	0.9918526062401629
Baree_17_140	0.9951975353388909
Baree_17_141	0.9722275702733923
Baree_17_142	0.9853628301706875
Baree_17_143	0.995625
Baree_17_144	0.9976375764313508
Baree_17_145	0.9994609956879655
Baree_17_146	0.9944237918215614
Baree_17_147	0.9856628809175756
Baree_17_149	0.9992593964080726
Baree_17_150	0.9957357075913776
BC1_23_01	0.000762605418984389
BC2_23_01	9.030160736861116e-05
BC2_23_02	0.0011229898481717726
BC2_23_04	0.0004313236844627624
BC3_23_01	0.0009987288905029962
BC3_23_02	0.0003629764065335753
BCC1_23_01	0.0007301935012778386
BCC1_23_03	0.0007127245082200894
Bear_17_184	0.004299085764040052
Bear_17_200	0.0029927543841226506
Bear_17_201	0.0005218601414820829
Bear_17_202	0.0004087936046511628
Bear_17_203	0.0
Bear_17_205	0.0010973936899862826
Bear_17_208	0.0008125418220055444
Bear_17_209	0.0011610626044956344
Bear_17_210	4.631773969430292e-05
Bear_21_001	0.01408897345293105
Bear_21_002	0.003934895367554999
Bear_21_003	0.003091951962717333
Bear_21_004	0.014140779314059975
Bear_21_005	0.0054688900842747
Bear_21_006	0.0008307181096547905
Bear_21_007	0.0053724928366762174
