	WCT_diagnostic_proportion
Abbot_20_01	0.9959097669806644
Abbot_20_03	0.9978290676416819
Abbot_20_26	0.9988455322096513
AdamsBR3_17_01	0.9996844762305427
AdamsBR3_17_02	0.999496678075297
AdamsBR3_17_03	0.999393081124823
AdamsBR3_17_07	1.0
AdamsBR3_17_09	0.9993991588223513
AdamsBR3_17_11	0.9997916666666666
AdamsBR3_17_12	0.9995990376904571
AdamsBR3_17_13	0.9994676320272572
AdamsBR3_17_15	0.9993983152827918
AdamsBR3_17_19	0.9996992179667135
AdamsBR3_17_20	0.9993623804463337
AdamsBR3_17_22	0.9988955823293173
AdamsBR3_17_24	0.9992981752556648
AdamsBR3_17_25	0.9992973298534431
AdamsBR3_17_28	0.9997992371009837
ARD_20_01	0.9993300580616347
ARD_20_02	0.9994736842105263
ARD_20_03	0.999562363238512
ARD_20_05	0.9996846752154719
ARD_20_06	0.999624060150376
ARD_20_07	1.0
ARD_20_10	0.9994716821639898
ARD_20_11	0.999466609771709
ARD_20_12	0.9996810546459707
ARD_20_13	0.9994712351945855
ARD_20_14	0.999578947368421
ARD_20_15	0.9997886728655959
ARD_20_16	0.9991587802313354
ARD_20_17	0.9998754359740907
ARD_20_18	0.9998908296943232
ARD_20_20	0.999782561426397
ARD_20_21	0.9997720018239854
ARD_20_22	0.9996836110525206
ARD_20_23	0.9998925424457339
ARD_20_24	0.9996706915477497
ARD_20_25	0.9998906386701663
ARD_20_26	0.9995506627724107
ARD_20_27	0.9992643968053804
ARD_20_28	0.9997727272727273
ARD_20_29	0.9994560487380331
ARD_20_30	0.9994752308984047
ARD_20_31	0.9997855917667239
Arlee_06_04	0.9995751911639762
Arlee_06_05	0.9997538764459759
Arlee_06_10	0.9998934356351236
Arlee_06_11	0.9998908058528063
Arlee_06_12	0.9997774810858923
Arlee_06_14	0.9998833138856477
Arlee_06_15	0.9996692392502756
Arlee_06_16	0.999671052631579
Arlee_06_17	0.9995657837603127
Arlee_06_18	0.9996458087367178
Arlee_06_19	0.9993499458288191
Arlee_06_20	0.9994654693179389
Arlee_06_21	0.9996774193548387
