	YCT_diagnostic_proportion
Abbot_20_01	0.9996452013482349
Abbot_20_03	0.9998381353188734
Abbot_20_26	0.9986783413183545
AdamsBR3_17_01	1.0
AdamsBR3_17_02	0.9999291885002124
AdamsBR3_17_03	0.9999288560045532
AdamsBR3_17_07	1.0
AdamsBR3_17_09	0.9998596294216732
AdamsBR3_17_11	0.9999270179535834
AdamsBR3_17_12	0.9999297061717981
AdamsBR3_17_13	1.0
AdamsBR3_17_15	0.9999296072082219
AdamsBR3_17_19	1.0
AdamsBR3_17_20	1.0
AdamsBR3_17_22	1.0
AdamsBR3_17_24	0.9999297259311314
AdamsBR3_17_25	0.9998595110986233
AdamsBR3_17_28	0.99992968640135
ARD_20_01	0.9999228395061729
ARD_20_02	0.9998543547917274
ARD_20_03	0.999620809949947
ARD_20_05	0.9995636363636363
ARD_20_06	0.9996489380375636
ARD_20_07	0.9999269859813084
ARD_20_10	0.9997079865673821
ARD_20_11	0.9993329380373555
ARD_20_12	0.9994866529774127
ARD_20_13	0.9995624908852268
ARD_20_14	0.9999271880005824
ARD_20_15	0.9997802841658122
ARD_20_16	0.9996368917937546
ARD_20_17	0.9996529585285442
ARD_20_18	0.9996964177292046
ARD_20_20	0.9993225952130061
ARD_20_21	0.9998413453910836
ARD_20_22	0.9994148624926857
ARD_20_23	0.9994071439158144
ARD_20_24	0.9996195982958004
ARD_20_25	0.9997726239199636
ARD_20_26	0.9998427425695864
ARD_20_27	0.9996362578204568
ARD_20_28	0.9996819338422391
ARD_20_29	0.9997741304020479
ARD_20_30	0.9993465950341223
ARD_20_31	0.9994086339444116
Arlee_06_04	0.9994845360824742
Arlee_06_05	0.9997387214770945
Arlee_06_10	0.9997039668442865
Arlee_06_11	0.9997714111551357
Arlee_06_12	0.9997688395746648
Arlee_06_14	0.9995919699689897
Arlee_06_15	0.9996169756396507
Arlee_06_16	0.9994707394525933
Arlee_06_17	0.9996993837366601
Arlee_06_18	0.9997512025211478
Arlee_06_19	0.9996237206502108
Arlee_06_20	0.9998512568793694
Arlee_06_21	0.9993296588708476
Arlee_06_22	0.9998420969524712
Arlee_06_23	0.9996941428352959
Arlee_06_24	0.9996828920247344
Arlee_08_02	0.999903437620703
Arlee_08_07	0.9994398207426376
Arlee_08_08	0.9993911719939117
Arlee_08_09	0.9996233805363061
Arlee_08_11	0.9997494153023722
Arlee_08_13	0.9996781461216607
Arlee_08_14	0.9995854063018242
Arlee_08_16	0.9998357694202661
Arlee_08_18	0.999459292445543
Arlee_08_20	0.9997769848349688
Arlee_BY21_01_1	0.9994472520530638
Arlee_BY21_01	0.9994674376141205
Arlee_BY21_02	0.9995426132032322
Arlee_BY21_03	0.9998392541392059
Arlee_BY21_04	0.9996173713411135
Arlee_BY21_05	0.9994692144373672
Arlee_BY21_06	0.9993869731800766
Arlee_BY21_07	0.9996273106738223
ArleeBY_21_07	0.9994919436783277
Arlee_BY21_08	0.9996678844237795
Arlee_BY21_09	0.9993387215282881
Arlee_BY21_10	0.9999232540291635
Arlee_BY21_13	1.0
Arlee_BY21_15	0.9996157983709851
Arlee_BY21_17	0.9994712990936556
Arlee_BY21_18	0.9999021717863432
Arlee_BY21_19	0.9995193078032366
Arlee_BY21_20	0.9995421245421245
Arlee_BY21_21	0.9993006993006993
Arlee_BY21_22	0.99930405196412
