Sample_ID	CRT_diag_norm	IRT_diag_norm	RBT_diag_norm	WCT_diag_norm	YCT_diag_norm	CRT_admix	IRT_admix	RBT_admix	WCT_admix	YCT_admix	CRT_ELAI	IRT_ELAI	RBT_ELAI	WCT_ELAI	YCT_ELAI	Mitochondria	RBT_Chr05_norm	WCT_Chr05_norm	YCT_Chr05_norm	RBT_Chr05_1	WCT_Chr05_1	YCT_Chr05_1	RBT_Chr05_2	WCT_Chr05_2	YCT_Chr05_2	Inv1_RBT_RR	Inv2_RBT_RR	RBT_Chr17	WCT_Chr17	YCT_Chr17	RBT_Chr20_norm	WCT_Chr20_norm	YCT_Chr20_norm	RBT_Chr22_norm	WCT_Chr22_norm	YCT_Chr22_norm	RBT_Chr29_norm	WCT_Chr29_norm	YCT_Chr29_norm
Troy_11_05	0.7546	0.2424	0.9969	0.0018	0.0013	0.872408	0.127572	0.99998	0.00001	0.00001	0.798805397	0.200486186	0.999291583	0.000708417	0	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.50	0.51	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Troy_11_06	0.8392	0.1524	0.9916	0.0059	0.0025	0.906105	0.090061	0.996166	0.003825	0.00001	0.832565988	0.15997531	0.992541298	0.006621753	0.000836949	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.01	0.01	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Troy_11_14	0.6974	0.2945	0.9919	0.0067	0.0014	0.787401	0.208899	0.9963	0.003691	0.00001	0.711869978	0.281576542	0.993446521	0.006251104	0.000302376	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Troy_11_17	0.6956	0.2902	0.9858	0.0097	0.0045	0.804085	0.185843	0.989928	0.010062	0.00001	0.724453601	0.259486496	0.983940096	0.012057702	0.004002201	RBT	0.90	0.10	0.00	1.00	0.00	0.00	0.84	0.16	0.00	0.04	0.11	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Troy_11_22	0.6924	0.3004	0.9927	0.0033	0.0040	0.737756	0.259295	0.997051	0.000841	0.002108	0.64597721	0.346761512	0.992738722	0.003311283	0.003949995	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.52	0.50	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Troy_11_23	0.8248	0.1670	0.9918	0.0029	0.0053	0.904131	0.089094	0.993225	0.001914	0.004861	0.834275085	0.155216831	0.989491916	0.003527463	0.006980621	NA	0.92	0.00	0.08	1.00	0.00	0.00	0.72	0.00	0.28	0.04	0.13	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Troy_11_29	0.6025	0.3893	0.9917	0.0071	0.0012	0.661119	0.33383	0.994949	0.005041	0.00001	0.584787983	0.406786227	0.99157421	0.00842579	0	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.51	0.50	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Star_11_292	0.1139	0.8842	0.9982	0.0018	0.0001	0.155593	0.844387	0.99998	0.00001	0.00001	0.123402864	0.875369463	0.998772327	0.001227673	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Star_11_293	0.8987	0.0959	0.9946	0.0018	0.0036	0.92498	0.073074	0.998054	0.00001	0.001935	0.858434161	0.137785117	0.996219279	0.001967978	0.001812743	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.98	0.99	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Star_11_295	0.8863	0.0916	0.9779	0.0179	0.0042	0.917	0.066591	0.983591	0.014647	0.001761	0.861991968	0.121381567	0.983373535	0.014244296	0.002382169	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.99	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
