LG	length
Omy01	95772356
Omy02	103806877
Omy03	85311031
Omy04	46841314
Omy05	100798064
Omy06	101096859
Omy07	90918291
Omy08	91622588
Omy09	79455637
Omy10	87811138
Omy11	86280908
Omy12	102853256
Omy13	73332040
Omy14	43310081
Omy15	81569517
Omy16	78541548
Omy17	95212422
Omy18	74657750
Omy19	67237266
Omy20	46616863
Omy21	64935962
Omy22	52474311
Omy23	62880378
Omy24	45930806
Omy25	47542702
Omy26	51113553
Omy27	51556237
Omy28	43716683
Omy30	46327593
Omy31	44108611
Omy32	41837469
OmyY	47748341
