Population	LG	Start_bp	End_bp	Mean_Frequency	Max_Frequency
Upper Bear	Omy04	19764000	24689000	0.24931002068057906	0.27314814814814814
Upper Bear	Omy12	64855000	66882000	0.15248314421970072	0.16203703703703703
Upper Bear	Omy12	73239000	73845000	0.1136092775944261	0.12037037037037036
Upper Bear	Omy12	75425000	79542000	0.1269442870122977	0.14814814814814814
Upper Bear	Omy16	20000	1272000	0.3548359661578511	0.4074074074074074
Upper Bear	Omy16	7948000	9218000	0.10305118110236221	0.10648148148148148
Upper Bear	Omy16	11085000	11603000	0.14351851851851852	0.14351851851851852
Upper Bear	Omy21	59752000	60274000	0.1111111111111111	0.1111111111111111
Upper Bear	Omy21	60890000	64091000	0.11900360998299142	0.125
Upper Bear	Omy25	40957000	41688000	0.10648148148148148	0.10648148148148148
Upper Bear	Omy28	33118000	33207000	0.10185185185185185	0.10185185185185185
Upper Bear	Omy28	33250000	33574000	0.10185185185185185	0.10185185185185185
Upper Bear	Omy28	34823000	40599000	0.2071142082179132	0.2777777777777778
Upper Bear	Omy29	39102000	43875000	0.14427605900474116	0.18518518518518517
Upper Bear	Omy29	44557000	45103000	0.10648148148148148	0.10648148148148148
Upper Bear	Omy30	30691000	30967000	0.3101851851851852	0.3101851851851852
Upper Bear	Omy30	31787000	37239000	0.17201723458601667	0.19444444444444445
